Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_Greedy_Random_k3,400718,891.9899463653564,0,false,-1,-1.0
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_Greedy_Probabilistic_alpha0.9,341985,1345.719814300537,0,false,-1,-1.0
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_SimulatedAnnealing,400792,6924.95059967041,11395,false,-1,-1.0
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_GeneticAlgorithm,292831,6195.1258182525635,5000,false,-1,-1.0
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_TabuSearch,400798,300038.357257843,536,false,-1,-1.0
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Complete_MIP_ORTools,418472,146.8636989593506,0,true,-1,-1.0
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Incomplete_Greedy_Simple,418452,2.0105838775634766,0,false,-1,-1.0
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Incomplete_Greedy_Random_k3,418426,503.4065246582031,0,false,-1,-1.0
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Incomplete_Greedy_Probabilistic_alpha0.9,362135,575.1633644104004,0,false,-1,-1.0
00Uncorrelated_n01000_R01000_s001,difficile,Unknown,1000,243069,491001,514650,Incomplete_SimulatedAnnealing,418452,4506.673574447632,10529,false,-1,-1.0
